D2,shift,inv_ratio,sim,median_delay
3,0,0.75,17,20.0
3,0,0.75,18,26.5
3,0,0.75,19,21.5
3,0,1.0,0,43.5
3,0,1.0,1,24.0
3,0,1.0,2,44.0
3,0,1.0,3,10.5
3,0,1.0,4,42.5
3,0,1.0,5,57.0
3,0,1.0,6,43.5
3,0,1.0,7,71.0
3,0,1.0,8,58.0
3,0,1.0,9,3.5
3,0,1.0,10,19.5
3,0,1.0,11,14.5
3,0,1.0,12,74.5
3,0,1.0,13,17.5
3,0,1.0,14,61.0
3,0,1.0,15,19.0
3,0,1.0,16,103.5
3,0,1.0,17,16.5
3,0,1.0,18,28.0
3,0,1.0,19,82.0
3,1,0.0,0,48.5
3,1,0.0,1,32.0
3,1,0.0,2,80.0
3,1,0.0,3,27.0
3,1,0.0,4,3.5
3,1,0.0,5,23.5
3,1,0.0,6,2.0
3,1,0.0,7,338.0
3,1,0.0,8,32.5
3,1,0.0,9,1.0
3,1,0.0,10,101.5
3,1,0.0,11,73.0
3,1,0.0,12,65.0
3,1,0.0,13,53.5
3,1,0.0,14,412.0
3,1,0.0,15,31.0
3,1,0.0,16,22.0
3,1,0.0,17,38.5
3,1,0.0,18,129.5
3,1,0.0,19,41.0
3,1,0.25,0,25.5
3,1,0.25,1,35.5
3,1,0.25,2,14.5
3,1,0.25,3,16.0
3,1,0.25,4,51.5
3,1,0.25,5,52.0
3,1,0.25,6,118.5
3,1,0.25,7,267.0
3,1,0.25,8,42.5
3,1,0.25,9,12.5
3,1,0.25,10,13.0
3,1,0.25,11,23.5
3,1,0.25,12,40.5
3,1,0.25,13,71.5
3,1,0.25,14,23.5
3,1,0.25,15,21.0
3,1,0.25,16,10.0
3,1,0.25,17,58.0
3,1,0.25,18,4.5
3,1,0.25,19,80.5
3,1,0.5,0,83.0
3,1,0.5,1,31.5
3,1,0.5,2,89.0
3,1,0.5,3,30.5
3,1,0.5,4,34.0
3,1,0.5,5,87.5
3,1,0.5,6,17.0
3,1,0.5,7,16.0
3,1,0.5,8,11.5
3,1,0.5,9,30.0
3,1,0.5,10,52.0
3,1,0.5,11,1.0
3,1,0.5,12,20.5
3,1,0.5,13,49.5
3,1,0.5,14,87.0
3,1,0.5,15,47.5
3,1,0.5,16,13.5
3,1,0.5,17,2.0
3,1,0.5,18,27.0
3,1,0.5,19,24.0
3,1,0.75,0,10.5
3,1,0.75,1,39.5
3,1,0.75,2,17.0
3,1,0.75,3,36.0
3,1,0.75,4,20.0
3,1,0.75,5,28.5
3,1,0.75,6,130.0
3,1,0.75,7,9.0
3,1,0.75,8,27.0
3,1,0.75,9,24.5
3,1,0.75,10,23.0
3,1,0.75,11,22.0
3,1,0.75,12,31.5
3,1,0.75,13,55.0
3,1,0.75,14,24.0
3,1,0.75,15,24.0
3,1,0.75,16,51.0
3,1,0.75,17,13.5
3,1,0.75,18,70.0
3,1,0.75,19,36.5
3,1,1.0,0,68.5
3,1,1.0,1,15.0
3,1,1.0,2,92.5
3,1,1.0,3,16.5
3,1,1.0,4,72.0
3,1,1.0,5,79.5
3,1,1.0,6,23.0
3,1,1.0,7,389.0
3,1,1.0,8,54.5
3,1,1.0,9,122.0
3,1,1.0,10,359.5
3,1,1.0,11,4.0
3,1,1.0,12,44.5
3,1,1.0,13,30.5
3,1,1.0,14,75.5
3,1,1.0,15,56.5
3,1,1.0,16,19.0
3,1,1.0,17,35.5
3,1,1.0,18,80.0
3,1,1.0,19,35.5
3,2,0.0,0,12.5
3,2,0.0,1,1.0
3,2,0.0,2,19.5
3,2,0.0,3,28.5
3,2,0.0,4,39.0
3,2,0.0,5,11.0
3,2,0.0,6,31.0
3,2,0.0,7,42.5
3,2,0.0,8,12.5
3,2,0.0,9,311.0
3,2,0.0,10,84.0
3,2,0.0,11,27.0
3,2,0.0,12,37.5
3,2,0.0,13,1.0
3,2,0.0,14,103.0
3,2,0.0,15,18.5
3,2,0.0,16,106.0
3,2,0.0,17,14.0
3,2,0.0,18,220.0
3,2,0.0,19,91.0
3,2,0.25,0,13.5
3,2,0.25,1,89.0
3,2,0.25,2,29.5
3,2,0.25,3,54.0
3,2,0.25,4,23.5
3,2,0.25,5,11.5
3,2,0.25,6,37.5
3,2,0.25,7,32.5
3,2,0.25,8,396.0
3,2,0.25,9,26.0
3,2,0.25,10,332.0
3,2,0.25,11,12.0
3,2,0.25,12,31.0
3,2,0.25,13,96.5
3,2,0.25,14,4.0
3,2,0.25,15,11.0
3,2,0.25,16,44.5
3,2,0.25,17,134.0
3,2,0.25,18,46.5
3,2,0.25,19,101.5
3,2,0.5,0,30.5
3,2,0.5,1,40.5
3,2,0.5,2,43.0
3,2,0.5,3,1.0
3,2,0.5,4,2.0
3,2,0.5,5,34.0
3,2,0.5,6,29.5
3,2,0.5,7,1.0
3,2,0.5,8,578.5
3,2,0.5,9,39.0
3,2,0.5,10,18.5
3,2,0.5,11,13.0
3,2,0.5,12,50.0
3,2,0.5,13,116.0
3,2,0.5,14,27.0
3,2,0.5,15,26.0
3,2,0.5,16,28.0
3,2,0.5,17,28.5
3,2,0.5,18,18.0
3,2,0.5,19,70.5
3,2,0.75,0,42.5
3,2,0.75,1,19.0
3,2,0.75,2,31.0
3,2,0.75,3,188.0
3,2,0.75,4,87.0
3,2,0.75,5,20.0
3,2,0.75,6,16.5
3,2,0.75,7,23.5
3,2,0.75,8,191.0
3,2,0.75,9,2.0
3,2,0.75,10,28.5
3,2,0.75,11,28.0
3,2,0.75,12,24.0
3,2,0.75,13,89.0
3,2,0.75,14,74.5
3,2,0.75,15,34.5
3,2,0.75,16,34.0
3,2,0.75,17,60.5
3,2,0.75,18,75.0
3,2,0.75,19,1.0
3,2,1.0,0,114.5
3,2,1.0,1,50.5
3,2,1.0,2,118.0
3,2,1.0,3,11.0
3,2,1.0,4,52.0
3,2,1.0,5,25.5
3,2,1.0,6,34.0
3,2,1.0,7,31.0
3,2,1.0,8,24.5
3,2,1.0,9,56.5
3,2,1.0,10,58.0
3,2,1.0,11,86.5
3,2,1.0,12,10.0
3,2,1.0,13,45.0
3,2,1.0,14,139.5
3,2,1.0,15,48.0
3,2,1.0,16,15.5
3,2,1.0,17,63.0
3,2,1.0,18,52.5
3,2,1.0,19,25.0
4,0,0.0,0,223.0
4,0,0.0,1,51.0
4,0,0.0,2,29.0
4,0,0.0,3,22.5
4,0,0.0,4,19.5
4,0,0.0,5,35.0
4,0,0.0,6,1.0
4,0,0.0,7,405.0
4,0,0.0,8,103.0
4,0,0.0,9,37.0
4,0,0.0,10,234.0
4,0,0.0,11,5.0
4,0,0.0,12,12.0
4,0,0.0,13,42.0
4,0,0.0,14,127.0
4,0,0.0,15,19.0
4,0,0.0,16,9.5
4,0,0.0,17,9.0
4,0,0.0,18,26.5
4,0,0.0,19,16.5
4,0,0.25,0,16.0
4,0,0.25,1,18.5
4,0,0.25,2,74.0
4,0,0.25,3,45.5
4,0,0.25,4,204.5
4,0,0.25,5,20.5
4,0,0.25,6,49.5
4,0,0.25,7,47.5
4,0,0.25,8,11.5
4,0,0.25,9,68.0
4,0,0.25,10,45.0
4,0,0.25,11,67.0
4,0,0.25,12,40.5
4,0,0.25,13,23.0
4,0,0.25,14,3.0
4,0,0.25,15,71.0
4,0,0.25,16,27.5
4,0,0.25,17,42.0
4,0,0.25,18,41.0
4,0,0.25,19,17.5
4,0,0.5,0,13.0
4,0,0.5,1,62.0
4,0,0.5,2,22.5
4,0,0.5,3,15.0
4,0,0.5,4,113.0
4,0,0.5,5,179.0
4,0,0.5,6,243.0
4,0,0.5,7,79.0
4,0,0.5,8,246.5
4,0,0.5,9,1.0
4,0,0.5,10,90.0
4,0,0.5,11,270.5
4,0,0.5,12,34.5
4,0,0.5,13,108.0
4,0,0.5,14,27.0
4,0,0.5,15,104.5
4,0,0.5,16,81.5
4,0,0.5,17,9.0
4,0,0.5,18,194.5
4,0,0.5,19,54.0
4,0,0.75,0,41.5
4,0,0.75,1,134.5
